"scenario","germplasm","grain_yield","test_weight","heading_time","plant_height","net_merit"
"ST_GBLUP_22","17-8930",99.5937066570815,58.0779455968059,131.382775071143,99.8430989572043,605.759042403674
"ST_GBLUP_22","07-19334",92.6488960936429,60.7739718982857,134.838925837362,100.718968073568,565.803473269882
"ST_GBLUP_22","Kaskaskia",87.5571578779006,60.9219254036194,136.462234046233,108.606463870161,526.826807241573
"ST_GBLUP_22","16-8048",94.7850219588798,60.6516334189461,134.684265866737,98.8863989834309,578.754847495573
"ST_GBLUP_22","18-842",94.9668466716141,60.2661257440881,133.328474917804,103.504082923551,584.422020356274
"ST_GBLUP_22","18-4910",89.4646014919282,61.8578668890411,133.486988919782,96.767270312889,561.613147929193
"ST_GBLUP_22","18-5737",90.4280258761943,60.3470311728019,133.664240937897,103.240029019428,555.662175359442
"ST_GBLUP_22","18-5837",87.4415101095045,61.9140426308996,133.244899505495,101.903337530963,550.832429037393
"ST_GBLUP_22","18-6274",94.4545411111685,62.1525083143798,133.225353765669,103.259349993165,596.14293650121
"ST_GBLUP_22","18-6852",95.1933015507826,60.3244182356918,132.779387561581,95.9219382698287,589.270578037994
"ST_GBLUP_22","18-7928",94.1573160499372,61.4486478421342,133.696317628196,94.6732040740145,586.39446332809
"ST_GBLUP_22","18-7943",88.7760163383589,61.0448044336278,133.068025126759,94.9530106529279,553.894730137008
"ST_GBLUP_22","18-9724",86.71338433018,61.1600758834125,133.456518877535,97.6223414680515,539.927107622713
"ST_GBLUP_22","18-12001",90.8427217971331,60.1214985501092,133.97164187526,102.503839383536,554.839496413096
"ST_GBLUP_22","18-12756",90.981139855117,61.0357630565144,133.541948959136,98.1464953294068,564.704266122226
"ST_GBLUP_22","18-12809",88.3696239300439,60.8631723995181,134.394832168666,104.532754591217,542.794907875539
"ST_GBLUP_22","18-13748",88.7298718331625,61.1564509327654,133.66906336823,101.378926314977,551.084857394263
"ST_GBLUP_22","18-13756",85.9915576687153,60.468737725408,133.90261058899,100.046596593625,528.283506783436
"ST_GBLUP_22","18-13765",92.3706843153072,60.9000198010131,133.452340561943,101.836152189429,572.697805766929
"ST_GBLUP_22","18-13852",90.7424534025393,59.9610789584742,136.052109032569,97.658564209731,541.576694059978
"ST_GBLUP_22","18-13965",84.102207386701,61.0498076201673,134.485500414631,98.0401521828901,517.499358056663
"ST_GBLUP_22","18-14535",93.552256271897,60.0151283967224,133.131622781717,97.2529101065936,575.063089307044
"ST_GBLUP_22","18-15372",88.9167862179397,61.0362520947937,132.907455288264,99.4574526312017,555.582227109797
"ST_GBLUP_22","18-16828",85.3691834363612,60.7342773472334,134.285955183447,98.7739947948512,524.199851953352
"ST_GBLUP_22","18-17119",87.8495316874579,60.0421678599333,133.01224406647,98.2750194117585,541.487177288349
"ST_GBLUP_22","18-17905",94.8053253110026,60.5161495408187,133.485741399958,100.407155351014,584.471304764691
"ST_GBLUP_22","18-22132",89.1928365417519,61.5856950609753,133.573950975276,99.3135487218871,557.510109419419
"ST_GBLUP_22","18-22767",92.8233423750226,60.4857104777249,133.057914067611,103.757075362148,574.564522328388
"ST_GBLUP_22","18-22976",91.7497957504114,60.796319552368,134.237017804855,101.089851088064,563.81019385797
"ST_GBLUP_22","18-23224",92.4906872098262,61.3467386442059,133.453300659257,105.860893541995,576.73080000245
"ST_GBLUP_22","18-23760",95.1856490048035,60.2343788287878,135.525605244804,100.516642032169,573.368959703148
"ST_GBLUP_22","18-26037",93.9536914182904,61.0666379999631,133.816101596203,104.246516789195,581.608936888739
"ST_GBLUP_22","18MSFRS-18",94.4011209096104,61.0645935291131,135.119687576722,98.8864774767068,577.131344750982
"ST_GBLUP_22","US16-IL-061-032",92.703219126881,60.4981049496374,132.862189075299,103.896372577969,575.007926823055
"ST_GBLUP_22","US16-IL-061-068",92.7629015994655,60.4085283482828,131.264155296603,104.563592905369,583.533006205963
"ST_GBLUP_22","US16-IL-063-026",90.8082071814905,61.6631416988906,132.340928115709,103.19729283199,574.838117941867
"ST_GBLUP_22","US16-IL-063-063",95.1499237240205,60.3008621597088,132.531611210328,95.3242875535307,590.197009680732
"ST_GBLUP_22","US17-IL-108-039",94.7397443654711,60.2345250896362,135.548276621491,97.8029957160235,570.545242946964
"ST_GBLUP_22","US17-IL-108-070",91.132501343117,61.1666936498829,134.579029371773,99.1353356429915,560.856264704137
"ST_GBLUP_22","US17-IL-111-005",93.5274941858634,59.5378366401719,132.9002820022,99.0770451482196,572.620300526818
"ST_GBLUP_22","US17-IL-111-006",94.0077522867279,61.0826935235215,132.413860132672,98.2103410686213,589.806300163919
"ST_GBLUP_22","19-3269",92.7494952057828,61.2918617625792,134.38227829181,106.237856762969,572.782020448036
"ST_GBLUP_22","19-3502",88.7662125771789,61.3410013080408,132.71516189796,104.49282502233,557.887273577215
"ST_GBLUP_22","19-3505",85.7306119617085,61.0686146076899,132.896818369532,104.458248014164,536.368833080086
"ST_GBLUP_22","19-3510",90.977452106984,60.9696599196317,133.374421450874,107.57345836382,565.125982604237
"ST_GBLUP_22","19-3528",92.5930328334457,61.1204860133695,133.288513999749,104.855624874877,576.593825311828
"ST_GBLUP_22","19-3538",92.1227066803684,59.5501228614561,132.619139185796,102.565792647617,565.83725301839
"ST_GBLUP_22","19-3943",90.4308768025393,58.7153103950607,133.982084730282,102.462361408028,542.119115780067
"ST_GBLUP_22","19-4014",91.4020915345194,59.6323462743904,132.32107281871,103.555954357437,563.761651155835
"ST_GBLUP_22","19-4151",92.4484512091947,60.9798895014831,133.624500899108,104.819820444636,572.812487429411
